,Ano_sem,ear_max_subsistema,ear_verif_subsistema_mwmes,ear_verif_subsistema_percentual
3380,2017_16,51809.0,79625.0,21.95571436
3384,2017_17,51809.0,78441.0,21.629999978571426
3388,2017_18,51809.0,77018.0,21.23714311
3392,2017_19,51809.0,75263.0,20.751428602857143
3396,2017_2,51809.0,61115.0,16.85285677
3400,2017_20,51809.0,73696.0,20.321428845714284
3404,2017_21,51809.0,72039.0,19.86571420857143
3408,2017_22,51809.0,70664.0,19.482857021428572
3412,2017_23,51809.0,69480.0,19.15714318428571
3416,2017_24,51809.0,68158.0,18.79285676142857
3420,2017_25,51809.0,66159.0,18.244285584285713
3424,2017_26,51809.0,64063.0,17.665714262857144
3428,2017_27,51809.0,61882.0,17.062856947142855
3432,2017_28,51809.0,60130.0,16.580000197142855
3436,2017_29,51809.0,57841.0,15.947142737142858
3440,2017_3,51809.0,60742.0,16.747143064285716
3444,2017_30,51809.0,55604.0,15.332856995714284
3448,2017_31,51809.0,53669.0,14.800000054285714
3452,2017_32,51809.0,51435.0,14.182857242857143
3456,2017_33,51809.0,49055.0,13.524285862857143
3460,2017_34,51809.0,46689.0,12.87571444
3464,2017_35,51809.0,44192.0,12.184285708571428
3468,2017_36,51809.0,41703.0,11.5
3472,2017_37,51809.0,39388.0,10.861428531428572
3476,2017_38,51809.0,36927.0,10.181428361428571
3480,2017_39,51809.0,34252.0,9.444285664285713
3484,2017_4,51809.0,60827.0,16.770000185714284
3488,2017_40,51809.0,31503.0,8.687142917142857
3492,2017_41,51809.0,28851.0,7.954285688571429
3496,2017_42,51809.0,26310.0,7.254285607142857
3500,2017_43,51809.0,23605.0,6.508571421428571
3504,2017_44,51809.0,21043.0,5.801428522857143
3508,2017_45,51809.0,18683.0,5.1528572357142854
3512,2017_46,51809.0,17070.0,4.705714227142857
3516,2017_47,51809.0,17951.0,4.950000014285714
3520,2017_48,51831.0,20118.0,5.547142778571429
3524,2017_49,51831.0,25087.0,6.914285661428571
3528,2017_5,51809.0,63365.0,17.46999985857143
3532,2017_50,51831.0,31365.0,8.645714351428571
3536,2017_51,51831.0,35976.0,9.917143004285714
3540,2017_52,51831.0,52003.0,12.54249978
3544,2017_6,51809.0,66828.0,18.427142824285713
3548,2017_7,51809.0,68850.0,18.98571423285714
3552,2017_8,51809.0,70804.0,19.52428545285714
3556,2017_9,51809.0,75459.0,20.805714472857144
3560,2018_1,51602.0703125,69526.06152344,16.8418500425
3564,2018_10,51602.0703125,103316.45703126,28.602514539999998
3568,2018_11,51602.0703125,113893.80664063999,31.530814307142858
3572,2018_12,51602.0703125,120972.68945313999,33.490542819999995
3576,2018_13,51602.0703125,128952.41406252,35.69967161
3580,2018_14,51602.0703125,135715.38671877,37.57197189428571
3584,2018_15,51602.0703125,140440.13281251,38.87998581
3588,2018_16,51602.0703125,143048.95117190998,39.60221481285714
3592,2018_17,51602.0703125,145321.73046877,40.231427329999995
3596,2018_18,51602.0703125,146858.87304688,40.656971524285716
3600,2018_19,51602.0703125,145805.39648439,40.365327564285714
3604,2018_2,51602.0703125,53896.952636710004,14.921042850000001
3608,2018_20,51602.0703125,145096.75195314,40.169128418571425
3612,2018_21,51602.0703125,144061.63085940998,39.88255691571429
3616,2018_22,51602.0703125,142374.31445315,39.41545704428571
3620,2018_23,51602.0703125,140495.40234377998,38.89528547
3624,2018_24,51602.0703125,138629.99804689,38.37887191714286
3628,2018_25,51602.0703125,137040.14257814,37.93871471
3632,2018_26,51602.0703125,135228.22656251,37.43708583285714
3636,2018_27,51602.0703125,133279.08593752,36.89747074857143
3640,2018_28,51602.0703125,131406.55468751,36.379086085714285
3644,2018_29,51602.0703125,129348.15820315,35.80922916857143
3648,2018_3,51602.0703125,57396.13281251,15.889771597142856
3652,2018_30,51602.0703125,126609.72070313999,35.051128934285714
3656,2018_31,51602.0703125,124277.35156251,34.405414037142855
3660,2018_32,51602.0703125,122087.76562502,33.79925646142857
3664,2018_33,51602.0703125,119857.61328126,33.18182863571429
3668,2018_34,51602.0703125,117478.84960938,32.523285457142855
3672,2018_35,51602.0703125,114495.35253907001,31.697328567142854
3676,2018_36,51602.0703125,112083.72460938,31.029685972857145
3680,2018_37,51602.0703125,109162.78710939,30.221071242857143
3684,2018_38,51602.0703125,106546.35937501,29.496700287142858
3688,2018_39,51602.0703125,103716.28808595,28.71322877
3692,2018_4,51602.0703125,60963.53027345,16.877386092857144
3696,2018_40,51602.0703125,100614.8310547,27.854613984285713
3700,2018_41,51602.0703125,97536.12109377,27.00227138
3704,2018_42,51602.0703125,95538.38476562,26.449214391428573
3708,2018_43,51602.0703125,93253.80371095,25.8167572
3712,2018_44,51602.0703125,91854.55273437,25.42937115285714
3716,2018_45,51602.0703125,90954.4482422,25.18018559
3720,2018_46,51602.0703125,93983.55371095,26.018757139999998
3724,2018_47,51602.0703125,97889.15136719,27.10000010857143
3728,2018_48,51602.0703125,106206.65429688,29.4026571
3732,2018_49,51602.0703125,117447.34277345,32.51455770142857
3736,2018_5,51602.0703125,63909.80078126,17.693028312857145
3740,2018_50,51602.0703125,125814.86132813999,34.83107158142857
3744,2018_51,51602.0703125,133083.84960939,36.84344319
3748,2018_52,51602.0703125,139309.45898439,38.56697246
3752,2018_6,51602.0703125,68271.55175783,18.900556837142858
3756,2018_7,51602.0703125,74014.54785157,20.49047143142857
