,Ano_sem,val_cargaenergiamwmed
3600,2018_19,72433.83162499999
3604,2018_2,73780.33554166
3608,2018_20,73411.686875
3612,2018_21,71581.61270833
3616,2018_22,65657.22741666
3620,2018_23,69543.80370834
3624,2018_24,70048.014375
3628,2018_25,68347.19537501001
3632,2018_26,68471.94245834
3636,2018_27,68512.49787499
3640,2018_28,69017.07995834
3644,2018_29,68587.94629167
3648,2018_3,73787.27412499
3652,2018_30,69308.22150001
3656,2018_31,70098.29916666
3660,2018_32,72086.7785
3664,2018_33,71867.22908332999
3668,2018_34,64663.60820833
3672,2018_35,69653.99395833
3676,2018_36,70054.58020833
3680,2018_37,71551.93145833
3684,2018_38,73007.76254167
3688,2018_39,73617.28366667
3692,2018_4,73673.08875
3696,2018_40,74221.96616666
3700,2018_41,73651.39083332999
3704,2018_42,76923.50066667
3708,2018_43,76403.89720833
3712,2018_44,74779.5316413
3716,2018_45,75618.90841667
3720,2018_46,75222.88920833
3724,2018_47,77465.79087501
3728,2018_48,74890.61383333
3732,2018_49,75915.1875
3736,2018_5,74625.72441667
3740,2018_50,72644.08604167
3744,2018_51,73453.91616666
3748,2018_52,71094.93383333
3752,2018_6,73188.12091667
3756,2018_7,68039.23033333001
3760,2018_8,74113.21495832
3764,2018_9,73453.12354166
3768,2019_1,83969.9248125
3772,2019_10,72696.37058334
3776,2019_11,78687.83354167
3780,2019_12,78742.83612498999
