,Ano_sem,ena_bruta_regiao_mwmed,ena_bruta_regiao_percentualmlt,ena_armazenavel_regiao_mwmed,ena_armazenavel_regiao_percentualmlt
3148,2016_11,29376.0,29.2342859,29217.0,29.075714112857145
3152,2016_12,34074.0,33.909999302857145,33893.0,33.72857121
3156,2016_13,30487.0,33.079999924285715,30265.0,32.83714239714286
3160,2016_14,23080.0,28.12857110285714,22885.0,27.890000207142858
3164,2016_15,19876.0,24.22142846428571,19706.0,24.01714243142857
3168,2016_16,15556.0,18.957142965714286,15381.0,18.745714458571427
3172,2016_17,13582.0,18.01428577,13397.0,17.771428654285714
3176,2016_18,11910.0,23.955714089999997,11722.0,23.578571592857145
3180,2016_19,11003.0,22.13142912714286,10786.0,21.695714132857145
3184,2016_2,26200.0,27.10000010857143,26071.0,26.967142922857143
3188,2016_20,12244.0,24.627142768571428,12055.0,24.24857112285714
3192,2016_21,11920.0,23.975714275714285,11712.0,23.55571419714286
3196,2016_22,9951.0,27.22000013,9763.0,26.69999967142857
3200,2016_23,10568.0,32.18000003428572,10398.0,31.662857055714287
3204,2016_24,10199.0,31.054285867142855,9988.0,30.41428566
3208,2016_25,10150.0,30.90714291142857,9981.0,30.39142826571429
3212,2016_26,10190.0,33.76285689,9998.0,33.12714222571429
3216,2016_27,9186.0,33.9128576,9032.0,33.34571402428572
3220,2016_28,8145.0,30.06999996857143,7960.0,29.387142724285713
3224,2016_29,8357.0,30.854285921428573,8186.0,30.21857152714286
3228,2016_3,59325.0,61.36428615142857,55925.0,57.84714290142857
3232,2016_30,8883.0,32.795713698571426,8739.0,32.26285689142857
3236,2016_31,9279.0,39.282857622857144,9085.0,38.46142850571429
3240,2016_32,8775.0,37.14857210571428,8606.0,36.43428639
3244,2016_33,8902.0,37.687143052857145,8700.0,36.83142907285714
3248,2016_34,9497.0,40.20571409,9272.0,39.252856661428574
3252,2016_35,8689.0,39.34285736142857,8514.0,38.55428586714286
3256,2016_36,8203.0,38.852857317142856,8015.0,37.96142850428571
3260,2016_37,7788.0,36.88857105857143,7605.0,36.017143794285715
3264,2016_38,7918.0,37.502857752857146,7714.0,36.53285707571429
3268,2016_39,8005.0,36.95857184285715,7806.0,36.035714832857145
3272,2016_4,106545.0,110.20571354428571,95648.0,98.93285805999999
3276,2016_40,8831.0,38.32714298714286,8690.0,37.715713501428574
3280,2016_41,9115.0,39.56142861428572,8970.0,38.93142918285714
3284,2016_42,9985.0,43.33714294428571,9794.0,42.508572169999994
3288,2016_43,9845.0,42.72857121142857,9667.0,41.95571409
3292,2016_44,8231.0,23.78285735,8074.0,23.31714248571429
3296,2016_45,9321.0,24.747142789999998,9173.0,24.35142844142857
3300,2016_46,13767.0,36.54857035857143,13657.0,36.25714329428571
3304,2016_47,20197.0,53.62000002285714,20130.0,53.442856924285714
3308,2016_48,30901.0,58.87999997714286,30797.0,58.69857134428571
3312,2016_49,36125.0,51.68571472285714,36002.0,51.5100005
3316,2016_5,109636.0,107.87142944285713,106644.0,104.92857142857143
3320,2016_50,38070.0,54.46571404714285,38059.0,54.44999967428571
3324,2016_51,38121.0,54.541428704285714,38063.0,54.45714296571429
3328,2016_52,43989.0,73.42500114333333,43868.0,73.22333272166667
3332,2016_53,9887.0,23.863333383333337,9806.0,23.663333256666665
3336,2016_6,117591.0,115.70000021857143,117441.0,115.54999978142857
3340,2016_7,105391.0,103.69571358857142,105236.0,103.54142870285715
3344,2016_8,60105.0,59.13571384714286,59967.0,59.00285720714286
3348,2016_9,42185.0,41.90714209428571,42036.0,41.75999995714285
3352,2017_1,47218.0,48.84142902857143,47032.0,48.647142682857144
3356,2017_10,24017.0,23.900000162857143,23845.0,23.73000035857143
3360,2017_11,24605.0,24.48571396,24429.0,24.311428615714284
3364,2017_12,21006.0,20.907142365714286,20831.0,20.731428417142858
3368,2017_13,18276.0,19.460000174285714,18150.0,19.329999924285715
3372,2017_14,22475.0,27.39142853857143,22351.0,27.239999771428568
3376,2017_15,22609.0,27.555714469999998,22469.0,27.38428579142857
3380,2017_16,18969.0,23.118571417142856,18810.0,22.92285701142857
3384,2017_17,13849.0,16.878571781428573,13639.0,16.62285723
3388,2017_18,12057.0,24.251428602857143,11879.0,23.894285745714285
3392,2017_19,11487.0,23.105714798571427,11316.0,22.761428832857142
3396,2017_2,24188.0,25.01857158142857,24013.0,24.837142671428573
3400,2017_20,11490.0,23.111428942857142,11278.0,22.685714175714285
3404,2017_21,11617.0,23.368571690000003,10152.0,20.421428407142855
3408,2017_22,11956.0,31.66857119857143,10649.0,28.275714054285714
3412,2017_23,13629.0,41.50142833142858,12356.0,37.624286108571425
3416,2017_24,10505.0,31.987143108571427,9231.0,28.107142855714283
3420,2017_25,8719.0,26.550000055714285,7447.0,22.677142824285713
3424,2017_26,8440.0,27.387142452857145,7155.0,23.238571439999998
3428,2017_27,9039.0,33.36999974857143,7773.0,28.695714132857145
3432,2017_28,9018.0,33.292857305714286,7728.0,28.53000014142857
3436,2017_29,9002.0,33.23571423285714,7727.0,28.527142660000003
3440,2017_3,19687.0,20.364285604285715,19556.0,20.228571755714285
3444,2017_30,8540.0,31.530000142857144,7274.0,26.857142854285716
3448,2017_31,8425.0,35.00714274714286,7193.0,29.885714395714285
3452,2017_32,8339.0,35.30428532142857,7099.0,30.05428641
3456,2017_33,8539.0,36.14999989,7252.0,30.701428547142857
3460,2017_34,8566.0,36.26428495142857,7285.0,30.841428757142857
3464,2017_35,8070.0,35.884286065714285,6880.0,30.59857096142857
3468,2017_36,7462.0,35.34285736142857,6339.0,30.02285712
3472,2017_37,7067.0,33.471428734285716,5940.0,28.132856912857143
3476,2017_38,7115.0,33.698571612857144,6127.0,29.01714216
3480,2017_39,6639.0,31.059999738571427,5695.0,26.635714394285714
